HomeTeam,AwayTeam,FTHG,FTAG,FTR
Tottenham,Crystal Palace,1,0,H
Arsenal,Tottenham,2,0,H
Bournemouth,Huddersfield,4,0,H
Burnley,Swansea,2,0,H
Crystal Palace,Everton,2,2,D
Leicester,Man City,0,2,A
Liverpool,Southampton,3,0,H
Man United,Newcastle,4,1,H
West Brom,Chelsea,0,4,A
Watford,West Ham,2,0,H
Brighton,Stoke,2,2,D
West Ham,Leicester,1,1,D
Crystal Palace,Stoke,2,1,H
Liverpool,Chelsea,1,1,D
Man United,Brighton,1,0,H
Newcastle,Watford,0,3,A
Swansea,Bournemouth,0,0,D
Tottenham,West Brom,1,1,D
Burnley,Arsenal,0,1,A
Huddersfield,Man City,1,2,A
Southampton,Everton,4,1,H
Brighton,Crystal Palace,0,0,D
Leicester,Tottenham,2,1,H
Watford,Man United,2,4,A
West Brom,Newcastle,2,2,D
Arsenal,Huddersfield,5,0,H
Bournemouth,Burnley,1,2,A
Chelsea,Swansea,1,0,H
Everton,West Ham,4,0,H
Man City,Southampton,2,1,H
Stoke,Liverpool,0,3,A
Arsenal,Man United,1,3,A
Brighton,Liverpool,1,5,A
Chelsea,Newcastle,3,1,H
Everton,Huddersfield,2,0,H
Leicester,Burnley,1,0,H
Stoke,Swansea,2,1,H
Watford,Tottenham,1,1,D
West Brom,Crystal Palace,0,0,D
Bournemouth,Southampton,1,1,D
Man City,West Ham,2,1,H
Burnley,Watford,1,0,H
Crystal Palace,Bournemouth,2,2,D
Huddersfield,Brighton,2,0,H
Newcastle,Leicester,2,3,A
Swansea,West Brom,1,0,H
Tottenham,Stoke,5,1,H
West Ham,Chelsea,1,0,H
Liverpool,Everton,1,1,D
Man United,Man City,1,2,A
Southampton,Arsenal,1,1,D
Burnley,Stoke,1,0,H
Crystal Palace,Watford,2,1,H
Huddersfield,Chelsea,1,3,A
Liverpool,West Brom,0,0,D
Man United,Bournemouth,1,0,H
Newcastle,Everton,0,1,A
Southampton,Leicester,1,4,A
Swansea,Man City,0,4,A
Tottenham,Brighton,2,0,H
West Ham,Arsenal,0,0,D
Arsenal,Newcastle,1,0,H
Brighton,Burnley,0,0,D
Chelsea,Southampton,1,0,H
Leicester,Crystal Palace,0,3,A
Man City,Tottenham,4,1,H
Stoke,West Ham,0,3,A
Watford,Huddersfield,1,4,A
Bournemouth,Liverpool,0,4,A
West Brom,Man United,1,2,A
Everton,Swansea,3,1,H
Arsenal,Liverpool,3,3,D
Brighton,Watford,1,0,H
Burnley,Tottenham,0,3,A
Everton,Chelsea,0,0,D
Leicester,Man United,2,2,D
Man City,Bournemouth,4,0,H
Southampton,Huddersfield,1,1,D
Stoke,West Brom,3,1,H
Swansea,Crystal Palace,1,1,D
West Ham,Newcastle,2,3,A
Bournemouth,West Ham,3,3,D
Chelsea,Brighton,2,0,H
Huddersfield,Stoke,1,1,D
Liverpool,Swansea,5,0,H
Man United,Burnley,2,2,D
Tottenham,Southampton,5,2,H
Watford,Leicester,2,1,H
West Brom,Everton,0,0,D
Newcastle,Man City,0,1,A
Crystal Palace,Arsenal,2,3,A
Bournemouth,Everton,2,1,H
Chelsea,Stoke,5,0,H
Huddersfield,Burnley,0,0,D
Liverpool,Leicester,2,1,H
Man United,Southampton,0,0,D
Newcastle,Brighton,0,0,D
Watford,Swansea,1,2,A
Crystal Palace,Man City,0,0,D
West Brom,Arsenal,1,1,D
Brighton,Bournemouth,2,2,D
Burnley,Liverpool,1,2,A
Everton,Man United,0,2,A
Leicester,Huddersfield,3,0,H
Stoke,Newcastle,0,1,A
Man City,Watford,3,1,H
